Symbol,Volume
FFHL,9117.000000
FFIC,38564.000000
FFIN,228979.000000
FFIV,200343.000000
FFNW,915.000000
FFWM,49836.000000
FGBI,1742.000000
FGEN,1750984.000000
FGM,614.000000
FHB,202115.000000
FIBK,111537.000000
FINX,185293.000000
FISI,77037.000000
FISV,1226075.000000
FITB,3304259.000000
FITBI,28537.000000
FIVE,626672.000000
FIVN,436687.000000
FIZZ,227460.000000
FJP,987.000000
FKU,908.000000
FLDM,1703416.000000
FLEX,1315432.000000
FLIC,29780.000000
FLIR,503977.000000
FLL,145750.000000
FLN,1.000000
FLWS,493794.000000
FLXN,325950.000000
FLXS,21112.000000
FMB,92203.000000
FMBH,19714.000000
FMBI,301425.000000
FMNB,56747.000000
FNHC,108110.000000
FNK,2738.000000
FNLC,21276.000000
FNWB,10666.000000
FNX,13007.000000
FNY,92688.000000
FOLD,2203290.000000
FONR,16728.000000
FORD,97408.000000
FORM,161667.000000
FORR,11869.000000
FORTY,5487.000000
FOSL,200708.000000
FOX,1646612.000000
FOXA,8293392.000000
FOXF,57036.000000
FPA,75.000000
FPRX,277557.000000
FPXI,149063.000000
FRBA,40614.000000
FRBK,187917.000000
FRGI,46019.000000
FRME,55038.000000
FRPH,8092.000000
FRPT,151171.000000
FSAM,35250.000000
FSBW,18636.000000
FSFG,569.000000
FSLR,1102599.000000
FSTR,37928.000000
FSV,14155.000000
FSZ,400.000000
FTA,30958.000000
FTAG,600.000000
FTC,11186.000000
FTCS,372142.000000
FTEK,205679.000000
FTGC,244221.000000
FTHI,4872.000000
FTLB,50.000000
FTNT,1044641.000000
FTRI,75372.000000
FTSL,185900.000000
FTSM,206987.000000
FULT,407222.000000
FUNC,3946.000000
FUND,15632.000000
FV,85411.000000
FVC,4094.000000
FVE,82271.000000
FWP,4872.000000
FWRD,35174.000000
FYC,125258.000000
FYT,44542.000000
FYX,24578.000000
GABC,24441.000000
GAIA,89169.000000
GAIN,95451.000000
GALT,94177.000000
GASS,52510.000000
GBCI,179232.000000
GBDC,357497.000000
GBLI,4.000000
GBT,216732.000000
GCBC,11.000000
GDEN,64571.000000
GENC,9534.000000
GENE,1486460.000000
GENY,120802.000000
GEOS,8382.000000
GERN,1868266.000000
GEVO,11860410.000000
GFED,0.000000
GFN,92383.000000
GFNCP,2.000000
GGAL,184491.000000
GIFI,15213.000000
GIGA,122.000000
GIGM,62463.000000
GIII,192804.000000
GILD,2856409.000000
GILT,879713.000000
GLAD,149059.000000
GLBS,538169.000000
GLBZ,1.000000
GLDD,64488.000000
GLDI,195761.000000
GLMD,219074.000000
GLNG,1579466.000000
GLPG,100333.000000
GLPI,577769.000000
GLRE,75784.000000
GLRI,7400.000000
GLUU,2040496.000000
GLYC,882591.000000
GMLP,85674.000000
GNCA,174299.000000
GNMA,14545.000000
GNMK,309352.000000
GNTX,489748.000000
GOGL,256198.000000
GOGO,980682.000000
GOLD,14783464.000000
GOOD,209364.000000
GOODM,6002.000000
GOOG,645539.000000
GOOGL,673310.000000
GPACU,164469.000000
GPP,92477.000000
GPRE,614483.000000
GPRO,3277122.000000
GRBK,114009.000000
GRFS,343856.000000
GRID,18327.000000
GRMN,344024.000000
GROW,102451.000000
GRPN,1107692.000000
GRVY,29382.000000
GSBC,30223.000000
GSIT,28198.000000
GSM,2283682.000000
GT,3411158.000000
GTIM,19637.000000
GTLS,148952.000000
GURE,31239.000000
GWGH,6401.000000
GWPH,593100.000000
GWRS,10781.000000
GYRO,2.000000
HA,347976.000000
HAFC,150545.000000
HAIN,176290.000000
HALL,112824.000000
HALO,500075.000000
HAS,214246.000000
HAYN,15450.000000
HBAN,5112508.000000
HBANN,1598.000000
